T,M,Time
1,1,6.887353
1,10,23.974845
1,20,38.437844
1,30,44.119148
1,40,49.700376
1,50,59.230437
1,100,60.484931
10,1,0.211846
10,10,2.557715
10,20,4.140284
10,30,5.315856
10,40,6.159623
10,50,7.189368
10,100,7.516832
20,1,0.213903
20,10,1.289632
20,20,2.193861
20,30,2.887043
20,40,3.443814
20,50,4.043039
20,100,4.083654
