T,M,Time
1,1,6.572378
1,10,23.811228
1,20,39.794845
1,30,45.623760
1,40,52.155932
1,50,81.537893
1,100,81.971481
10,1,0.261558
10,10,2.694958
10,20,4.014200
10,30,5.205312
10,40,6.275178
10,50,8.371075
10,100,9.505702
20,1,0.219365
20,10,1.662161
20,20,2.537758
20,30,3.098589
20,40,3.654554
20,50,4.953137
20,100,4.798499
